Marca temporal,¿Imparte docencia en ciclos formativos de grado medio o superior?,Titulaciones que imparte,Área,Género,Edad (años),Experiencia docente,"Sobre el uso de los sistemas de mensajería en clase, prefiero",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros y estudiantes?,"¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes)  podrían resultar útiles para mejorar los resultados de aprendizaje de los estudiantes o ayudarte, en general, a gestionar una asignatura?","La virtualización de la enseñanza debida al COVID este año o el anterior, ¿ha significado algún cambio en tu percepción o uso de mensajería en clase?"
9/02/2021 16:14:29,Sí,Aula de Mayores/Extensión Universitaria,Tecnología,Hombre,45-55,más de 25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, no la usaba antes ni ahora."
9/02/2021 16:53:56,Sí,Grado medio,,Hombre,Más de 55,más de 25 años,Un grupo para el curso completo (profesores y estudiantes),"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 17:33:24,Sí,Grado superior,,Hombre,45-55,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,Bots que guarden y recuperen preguntas frecuentes,"No, no la usaba antes ni ahora."
9/02/2021 17:33:43,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería","Whatsapp, Telegram, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
9/02/2021 18:10:20,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,Un grupo para el curso completo (profesores y estudiantes),Plataforma de aprendizaje específica de la consejería o centro.,Bots que guarden y recuperen preguntas frecuentes,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 18:29:45,Sí,Grado superior,Tecnología,Mujer,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro., Gmail, Dropbox ","Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 18:33:36,Sí,Grado superior,Tecnología,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 18:41:08,Sí,Grado superior,Tecnología,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:14:44,Sí,Grado superior,Tecnología,Mujer,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Plataforma de aprendizaje específica de la consejería o centro., Classroom","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:14:48,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:16:56,Sí,"Grado medio, Grado superior",Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
